SPECIES,STRAIN,JGILIBRARY,BIOSAMPLE,BIOPROJECT,SRA,LOCUSTAG,TEMPLATE
Absidia glauca,NRRL 1327,CTHSB,SAMN10361445,PRJNA499644,SRS4286191,EC937,ZygoLCG
Absidia hyalospora,NRRL 1330,GAUUH,SAMN11510244,PRJNA536230,SRS5128315,FBX83,ZygoLCG
Absidia inflata,NRRL 6591,CUPYP,SAMN10872474,PRJNA519280,SRS4604623,EV167,ZygoLCG
Absidia macrospora,NRRL 5839,CTHPP,SAMN10361473,PRJNA499670,SRS4286146,EC964,ZygoLCG
Absidia pseudocylindrospora,NRRL 2984,GBNSZ,SAMN11510674,PRJNA536127,SRS5362790,FBW80,ZygoLCG
Absidia sp.,NRRL A-16789,GAWAN,SAMN11533291,PRJNA536129,SRS5119276,FBW82,ZygoLCG
Absidia spinosa,NRRL A-13651,CTHSP,SAMN10361474,PRJNA499677,SRS4286247,EC971,ZygoLCG
Absidia spinosa var. azygospora,NRRL 2841,CTHSH,SAMN10361574,PRJNA499686,SRS4286255,EC980,ZygoLCG
Absidia spinosavar var. biappendiculata,NRRL 3033,GBNSY,SAMN11510665,PRJNA536117,SRS5362789,FBW70,ZygoLCG
Absidia zychae,NRRL A-23515,CTHPX,SAMN10361222,PRJNA499680,SRS4286163,EC974,ZygoLCG
Actinomucor elegans,NRRL 1706,NRRL1706,,,,,UCR
Actinomucor sp.,NRRL A-23671,GAWGC,SAMN11533292,PRJNA535673,SRS5126456,FBU17,ZygoLCG
Amylomyces rouxii,NRRL 3160,GPOXN,SAMN14512001,PRJNA619719,,HDU72,ZygoLCG
Amylomyces rouxii,NRRL 5192,GPOXO,SAMN14512101,PRJNA619720,,HDU73,ZygoLCG
Amylomyces rouxii,NRRL A-25885,GPOXH,SAMN14512102,PRJNA619721,,HDU74,ZygoLCG
Amylomyces rouxii,NRRL A-26221,GPOXP,SAMN14511784,PRJNA619722,,HDU75,ZygoLCG
Apophysomyces ossiformis,NRRL A-21654,CTHST,SAMN10361476,PRJNA499679,SRS4286250,EC973,ZygoLCG
Apophysomyces sp.,BC1021,CHXXC,SAMN09083213,PRJNA463336,SRS3664049,DFQ29,ZygoLCG
Apophysomyces sp.,BC1034,CHXXG,SAMN09083216,PRJNA463335,SRS3664050,DFQ28,ZygoLCG
Apophysomyces sp.,BC1015,CHXXB,SAMN09083227,PRJNA463337,SRS3664048,DFQ30,ZygoLCG
Backusella circina,NRRL 2446,CTHSX,SAMN02199390,PRJNA196083,SRS441317,K501,ZygoLCG
Backusella circina,NRRL A-17781,CTHSU,SAMN10361475,PRJNA499678,SRS4286251,EC972,ZygoLCG
Backusella lamprospora,NRRL 1401,CTHSW,SAMN10361479,PRJNA499660,SRS4286249,EC953,ZygoLCG
Backusella lamprospora,NRRL 6044_Plus,GBNWB,SAMN10361479,PRJNA499660,SRS4286249,EC953,ZygoLCG
Benjaminiella youngii,IMI 325629,CHXXZ,SAMN09062785,PRJNA455970,SRS3664062,DER81,ZygoLCG
Blakeslea trispora,NRRL 2456,CTHSY,SAMN05444963,PRJNA334931,SRS1914411,BD560,ZygoLCG
Chaetocladium brefeldii,NRRL 1350,COZTY,SAMN10362882,PRJNA500295,SRS4247320,EDC11,ZygoLCG
Chaetocladium brefeldii,RSA 1136-,GBNWZ,SAMN11510670,PRJNA536122,SRS5392977,FBW75,ZygoLCG
Chaetocladium brefeldii Tieghem Le Monnier,NRRL 2509,GAUZO,SAMN11528550,PRJNA538876,SRR9712399,FB644,ZygoLCG
Chaetocladium jonesii,RSA 772,GPGAH,SAMN13165456,PRJNA581159,,GGF33,ZygoLCG
Choanephora circinans,NRRL 2546,GBNUG,SAMN11510673,PRJNA536126,SRS5392979,FBW79,ZygoLCG
Circinella angarensis,NRRL 1594,CTHTS,SAMN10361080,PRJNA499661,SRS4286878,EC954,ZygoLCG
Circinella angarensis,NRRL 2410,CUPYS,SAMN10864726,PRJNA519278,SRS4604612,EV165,ZygoLCG
Circinella angarensis,RSA 198_Plus,GBNTO,SAMN11510829,PRJNA535824,SRS5392980,FBU45,ZygoLCG
Circinella angarensis,RSA 618-,GBNTP,SAMN11510831,PRJNA535826,SRS5392974,FBU47,ZygoLCG
Circinella chinensis,CBS 150.53,CHXXT,SAMN09062758,PRJNA455974,SRS3664058,DER85,ZygoLCG
Circinella chinensis,NRRL 2415,CTHTX,SAMN10361081,PRJNA499662,SRS4287285,EC955,ZygoLCG
Circinella minor,CBS 143.56,CHXXS,SAMN09062759,PRJNA455975,SRS3664056,DER86,ZygoLCG
Circinella minor,NRRL 1365,CTHTH,SAMN10361467,PRJNA499656,SRS4286874,EC949,ZygoLCG
Circinella mucoroides,NRRL 1354,CUPYT,SAMN10864746,PRJNA519264,SRS4604625,EV151,ZygoLCG
Circinella muscae,CBS 107.13T,GBNUP,SAMN11510818,PRJNA535808,SRS5392559,FBU26,ZygoLCG
Circinella muscae,NRRL 1352,CTHTN,SAMN10361449,PRJNA499648,SRS4286872,EC941,ZygoLCG
Circinella muscae,NRRL 1355,CTHTA,SAMN10361450,PRJNA499649,SRS4286780,EC942,ZygoLCG
Circinella muscae,NRRL 1356,CTHTP,SAMN10361451,PRJNA499650,SRS4286880,EC943,ZygoLCG
Circinella muscae,NRRL 1357,CTHTG,SAMN10361452,PRJNA499651,SRS4286876,EC944,ZygoLCG
Circinella muscae,NRRL 1360,CTHTC,SAMN10361077,PRJNA499652,SRS4286873,EC945,ZygoLCG
Circinella muscae,NRRL 1362,CTHTO,SAMN10361078,PRJNA499653,SRS4286875,EC946,ZygoLCG
Circinella muscae,NRRL 1363,CTHTU,SAMN10361453,PRJNA499654,SRS4286877,EC947,ZygoLCG
Circinella muscae,NRRL 1364,CTHSZ,SAMN10361466,PRJNA499655,SRS4286783,EC948,ZygoLCG
Circinella muscae,NRRL 1367,CTHTT,SAMN10361469,PRJNA499658,SRS4286879,EC951,ZygoLCG
Circinella muscae,NRRL 2403,CTHTW,SAMN13170865,PRJNA585271,,GGT66,ZygoLCG
Circinella rigida,NRRL 2341,CUPYU,SAMN10864750,PRJNA519268,SRS4604581,EV155,ZygoLCG
Circinella simplex,CBS 142.35,CHXXP,SAMN09062760,PRJNA455976,SRS3664053,DER87,ZygoLCG
Circinella simplex van Tieghem,NRRL 2407,GAUXH,,,,,ZygoLCG
Circinella tenella,NRRL A-23557,GAWGA,SAMN11532699,PRJNA536130,SRS5126461,FBW83,ZygoLCG
Circinella umbellata,NRRL 1366,CTHTB,SAMN10361468,PRJNA499657,SRS4286811,EC950,ZygoLCG
Circinella umbellata,RSA 505_Plus,GBNWH,SAMN11493360,PRJNA535048,SRS5392975,FBN40,ZygoLCG
Circinomucor circinelloides,NRRL 22899,GBNSC,SAMN11532043,PRJNA538880,SRS5392971,FB648,ZygoLCG
Cunninghamella antarctica,NRRL 6534,CHXZC,SAMN09062779,PRJNA455964,SRS3664232,DER75,ZygoLCG
Cunninghamella bertholletiae,NRRL 1376,GAWNA,SAMN11510189,PRJNA535674,SRS5128533,FBU18,ZygoLCG
Cunninghamella bertholletiae,NRRL 1377,GAWGP,SAMN11510200,PRJNA535675,SRS5126949,FBU19,ZygoLCG
Cunninghamella bertholletiae,NRRL 1380,GAWCH,SAMN11510201,PRJNA535676,SRS5124885,FBU20,ZygoLCG
Cunninghamella brunnea,NRRL 6143,CHXZB,SAMN09074675,PRJNA463342,SRS3664167,DFQ35,ZygoLCG
Cunninghamella echinulata,NRRL 1384,GAWNC,SAMN11532227,PRJNA538864,SRS5128674,FB632,ZygoLCG
Cunninghamella echinulata,NRRL 1385,GAWGS,SAMN11510202,PRJNA536154,SRS5127877,FBX07,ZygoLCG
Cunninghamella echinulata,NRRL 1386,GAWHZ,SAMN11532711,PRJNA538870,SRS5128518,FB638,ZygoLCG
Cunninghamella echinulata,NRRL 1387,GAWHN,SAMN11510238,PRJNA536221,SRS5128964,FBX74,ZygoLCG
Cunninghamella echinulata,RSA 2017_Plus,GBNWU,SAMN11493359,PRJNA535046,SRS5392553,FBN38,ZygoLCG
Cunninghamella echinulata,RSA 2018-,GBNWW,SAMN11510675,PRJNA536128,SRS5392556,FBW81,ZygoLCG
Cunninghamella elegans,NRRL 1388,GAWGU,SAMN11510203,PRJNA536155,SRS5127890,FBX08,ZygoLCG
Cunninghamella elegans,NRRL 1390,GAWGW,SAMN11510204,PRJNA536156,SRS5127892,FBX09,ZygoLCG
Cunninghamella elegans,NRRL 1391,GAWGX,SAMN11510205,PRJNA536157,SRS5127902,FBX10,ZygoLCG
Cunninghamella elegans,NRRL 1392,GAWGT,SAMN11510206,PRJNA536158,SRS5127889,FBX11,ZygoLCG
Cunninghamella elegans,NRRL 1393,GAWGZ,SAMN11510207,PRJNA536159,SRS5127904,FBX12,ZygoLCG
Cunninghamella sp.,NRRL A-21238,GAWHO,SAMN11532222,PRJNA536160,SRS5128516,FBX13,ZygoLCG
Cunninghamella sp.,NRRL A-21271,GAWHX,SAMN11532702,PRJNA536161,SRS5128521,FBX14,ZygoLCG
Densosporaceae sp.,MVC-580,MVC_580,,,,,ZygoLCG
Dichotomocladium elegans,NRRL 2754,CTHUB,SAMN10361472,PRJNA499666,SRS4287284,EC960,ZygoLCG
Dichotomocladium hesseltinei,NRRL 2912T,GBNUW,SAMN11510680,PRJNA535814,SRS5393849,FBU34,ZygoLCG
Dichotomocladium robustum,RSA 1342,GBNUO,SAMN11510658,PRJNA535834,SRS5393850,FBU55,ZygoLCG
Dichotomocladium sphaerosporum,NRRL 22118,GBNSB,SAMN11510825,PRJNA535819,SRS5393848,FBU40,ZygoLCG
Dicranophora fulva,NRRL 22204,GPGAC,SAMN13166134,PRJNA581160,,GGF34,ZygoLCG
Ellisomyces anomalus,NRRL 2465_Plus-T,GBNWX,,,,,ZygoLCG
Ellisomyces anomalus,RSA 581-,GBNWY,SAMN11510681,PRJNA535828,SRS5393858,FBU49,ZygoLCG
Fennellomyces heterothallicus,RSA 2348,COZUC,SAMN10362773,PRJNA500291,SRS4247324,EDC07,ZygoLCG
Fennellomyces linderi,NRRL 2342T,GBNUU,SAMN11532044,PRJNA538881,SRS5393847,FB649,ZygoLCG
Fennellomyces mexicanussp.nov.,RSA 1415_Plus,GBNTS,SAMN09083442,PRJNA455962,SRS3664229,DER73,ZygoLCG
Fennellomyces mexicanussp.nov.,RSA 1418-,GBNTT,SAMN11532047,PRJNA535816,SRS5393846,FBU36,ZygoLCG
Fennellomyces verticellatus,RSA 2442_Plus,GBNUN,SAMN09083442,PRJNA455962,SRS3664229,DER73,ZygoLCG
Fennellomyces verticellatus,RSA 2446,CHXZO,SAMN09083442,PRJNA455962,SRS3664229,DER73,ZygoLCG
Gilbertella persicaria Eddy_Hesseltine,NRRL A-13613,GAUZP,SAMN11510208,PRJNA536162,SRS5119187,FBX15,ZygoLCG
Gilbertella persicariavar.indica,CBS 442.64-,GBNTN,SAMN11510822,PRJNA535813,SRS5393855,FBU33,ZygoLCG
Gilbertella persicariavar.persicaria,CBS 190.32-T,GBNWN,,,,,ZygoLCG
Gilbertella persicariavar.persicaria,CBS 246.59_Plus,GBNWO,SAMN07621763,PRJNA403689,SRS2529932,,ZygoLCG
Gongronella butleri,NRRL 1340,GAWNG,SAMN11510246,PRJNA536232,SRS5128705,FBX85,ZygoLCG
Gongronella butleri,NRRL A-23795,GAWGG,SAMN11510209,PRJNA536163,SRS5126470,FBX16,ZygoLCG
Gongronella butleri,NRRL A-9978,CTHUG,SAMN10361478,PRJNA499684,SRS4287302,EC978,ZygoLCG
Helicostylum lucknowense,NRRL 2892,GAUXZ,SAMN06266923,PRJNA366635,SRS5128517,BYT41,ZygoLCG
Helicostylum lucknowense,NRRL A-16732,GAWHU,SAMN11510676,PRJNA536132,SRS5128517,FBW85,ZygoLCG
Helicostylum pulchrum,RSA 2065,GBNSN,SAMN11510682,PRJNA535829,SRS5393853,FBU50,ZygoLCG
Helicostylum sp.,NRRL 1397,GAWHT,SAMN11566822,PRJNA536133,SRS5128514,FBW86,ZygoLCG
Lichtheimia corymbifera,NRRL 1592,CTHUP,SAMN13170810,PRJNA585270,,GGT65,ZygoLCG
Lichtheimia corymbifera,NRRL 2981,CTHUH,SAMN10361214,PRJNA499667,SRS4287303,EC961,ZygoLCG
Lichtheimia corymbifera,NRRL 6379,CTHUT,SAMN10361217,PRJNA499672,SRS4287649,EC966,ZygoLCG
Lichtheimia corymbifera,NRRL A-11155,CTHUU,SAMN10361221,PRJNA499676,SRS4287650,EC970,ZygoLCG
Lichtheimia hyalospora,NRRL 1305,CTHUO,SAMN10361578,PRJNA499696,SRS4287647,EC990,ZygoLCG
Lichtheimia ramosa,NRRL 1335,CTHUW,SAMN10361446,PRJNA499645,SRS4287648,EC938,ZygoLCG
Lichtheimia ramosa,NRRL 3208,CTHUN,SAMN10361216,PRJNA499669,SRS4287301,EC963,ZygoLCG
Lichtheimia sphaerocystis,NRRL 6380,CTHUS,SAMN10361218,PRJNA499673,SRS4287646,EC967,ZygoLCG
Mortierella ovata,NRRL 13128,CWSCU,SAMN11512125,PRJNA537992,SRS5069345,FB420,ZygoLCG
Mortierella ovata Yip,NRRL 13127,GAUUO,SAMN11532225,PRJNA538861,SRS5128317,FB629,ZygoLCG
Mucor aligarensis,NRRL 3099,CUPYW,SAMN10864727,PRJNA519282,SRS4604624,EV169,ZygoLCG
Mucor alternans,NRRL A-15142,GAWBB,SAMN11532036,PRJNA536136,SRS5119660,FBW89,ZygoLCG
Mucor alternans,NRRL A-16397,GAWBH,SAMN11533437,PRJNA536137,SRS5121422,FBW90,ZygoLCG
Mucor aromaticus,NRRL A-17745,GAWBT,SAMN11532813,PRJNA536138,SRS5122892,FBW91,ZygoLCG
Mucor azygosporus Benjamin,NRRL 3068,GAUXN,SAMN11510240,PRJNA536224,SRS5128387,FBX77,ZygoLCG
Mucor brunneus,NRRL 2351,GAWBY,SAMN11510172,PRJNA536139,SRS5123035,FBW92,ZygoLCG
Mucor caninus,NRRL A-12555,GAWAB,SAMN11528544,PRJNA536140,SRS5119265,FBW93,ZygoLCG
Mucor circinelloides,NRRL A-25893,GAWCS,SAMN11510210,PRJNA536164,SRS5126123,FBX17,ZygoLCG
Mucor circinelloides f. circinelloides,NRRL 3614,GBNPZ,SAMN11493362,PRJNA535052,SRS5393873,FBN45,ZygoLCG
Mucor circinelloides f. griseocyanus,NRRL 3621,CHXYW,SAMN09062782,PRJNA455967,SRS3664120,DER78,ZygoLCG
Mucor circinelloides f. janssenii,NRRL 2404,GAWBW,,,,,ZygoLCG
Mucor circinelloides f. lusitanicus,NRRL 3629,CUPYX,SAMN10864747,PRJNA519265,SRS4604643,EV152,ZygoLCG
Mucor corticolus,NRRL A-16258,GAWAT,SAMN11510173,PRJNA536141,SRS5119589,FBW94,ZygoLCG
Mucor ctenidius,NRRL 2929T,GBNUB,SAMN11510657,PRJNA535833,SRS5393865,FBU54,ZygoLCG
Mucor dispersus,NRRL 6039,CWSCB,SAMN11528543,PRJNA537986,SRS4736448,FB414,ZygoLCG
Mucor dispersus,NRRL 6045,GAUYN,SAMN11528545,PRJNA535091,SRS5128488,FBN85,ZygoLCG
Mucor dispersus,NRRL 6046,GAUXO,SAMN11533300,PRJNA535093,SRS5128397,FBN87,ZygoLCG
Mucor foenicola,NRRL A-10991,CUPYY,SAMN10878327,PRJNA519276,SRS4604651,EV163,ZygoLCG
Mucor fragilis,NRRL 2569,CUPYZ,SAMN10864753,PRJNA519275,SRS4604652,EV162,ZygoLCG
Mucor fragilis,NRRL A-16026,GAWAY,SAMN11510211,PRJNA536165,SRS5119650,FBX18,ZygoLCG
Mucor genevensis,NRRL 1756,GAWCC,SAMN11510212,PRJNA536166,SRS5124884,FBX19,ZygoLCG
Mucor genevensis,NRRL 1821,CHXYH,SAMN09074667,PRJNA463326,SRS3664065,DFQ21,ZygoLCG
Mucor genevensis,NRRL 3101,CWSBA,SAMN11511984,PRJNA537136,SRS4736044,FB110,ZygoLCG
Mucor genevensis,NRRL A-17770,GAWBP,SAMN11510213,PRJNA536167,SRS5122604,FBX20,ZygoLCG
Mucor globosus Fischer,NRRL 1759,GAWCU,SAMN11532814,PRJNA538865,SRS5126261,FB633,ZygoLCG
Mucor globosus,NRRL 1436,CHXZU,SAMN09083226,PRJNA463331,SRS3664237,DFQ24,ZygoLCG
Mucor globosus,NRRL A-28295,GAWCB,SAMN11510214,PRJNA536168,SRS5123079,FBX21,ZygoLCG
Mucor griseo-ochraceus var. minuta,NRRL 3246,CUPZA,SAMN10872735,PRJNA519283,SRS4604648,EV170,ZygoLCG
Mucor heterosporus,NRRL 3154,CUPZB,SAMN10872738,PRJNA519284,SRS4604650,EV171,ZygoLCG
Mucor hiemalis,NRRL 2349,GAWCG,SAMN11510190,PRJNA536169,SRS5124887,FBX22,ZygoLCG
Mucor hiemalis,NRRL A-11532,GAUZY,SAMN11510215,PRJNA536170,SRS5119202,FBX23,ZygoLCG
Mucor hiemalis,NRRL A-16027,GAUYP,SAMN11510216,PRJNA536171,SRS5128503,FBX24,ZygoLCG
Mucor hiemalis,NRRL A-28298,GAUWZ,SAMN11510217,PRJNA536172,SRS5128511,FBX25,ZygoLCG
Mucor hiemalis f. corticola,NRRL 3617,CHXYU,SAMN09074679,PRJNA463347,SRS3664068,DFQ40,ZygoLCG
Mucor hiemalis f. hiemalis,NRRL 1743,GAWBN,SAMN11532230,PRJNA538879,SRS5121448,FB647,ZygoLCG
Mucor hiemalis f. hiemalis,NRRL 3624,CHXYX,SAMN09074666,PRJNA463325,SRS3664139,DFQ20,ZygoLCG
Mucor hiemalis f. luteus,NRRL 3633,CHXZW,SAMN09062781,PRJNA455966,SRS3664236,DER77,ZygoLCG
Mucor hiemalis f. silvaticus,NRRL 3643,CHXYY,SAMN09062780,PRJNA455965,SRS3664121,DER76,ZygoLCG
Mucor inaequisporus,NRRL 3626,GBNST,SAMN11493301,PRJNA535079,SRS5393875,FBN73,ZygoLCG
Mucor indicus Lendner,NRRL 13132,GAUTW,SAMN11493472,PRJNA535081,SRS5128177,FBN75,ZygoLCG
Mucor indicus Lendner,NRRL 13468,GAUSC,SAMN11493354,PRJNA535027,SRS5128179,FBN18,ZygoLCG
Mucor indicus,NRRL 555,CUPZC,SAMN10864748,PRJNA519266,SRS4604649,EV153,ZygoLCG
Mucor intermedius,NRRL 6588T,GBNPW,SAMN11533294,PRJNA535821,SRS5393867,FBU42,ZygoLCG
Mucor javanicus,NRRL A-17643,GAWAP,SAMN11510218,PRJNA536173,SRS5119277,FBX26,ZygoLCG
Mucor lamprosporus,NRRL 6040,GAUYH,SAMN11532232,PRJNA535033,SRS5128487,FBN24,ZygoLCG
Mucor lamprosporus,NRRL 6048,CWSCC,SAMN11532714,PRJNA537987,SRS5069332,FB415,ZygoLCG
Mucor lamprosporus,NRRL 6049,GAUYB,SAMN11532231,PRJNA534998,SRS5128485,FBM86,ZygoLCG
Mucor lamprosporus,NRRL_6037,CWSCA,SAMN11533290,PRJNA537985,SRS4736301,FB413,ZygoLCG
Mucor laxorrhizus,NRRL 2814,CUPZG,SAMN10864724,PRJNA519271,SRS4604653,EV158,ZygoLCG
Mucor luteus,NRRL 2865,COZUA,SAMN10362775,PRJNA500293,SRS4247323,EDC09,ZygoLCG
Mucor luteus var. indica,NRRL 3245,CHXZX,SAMN09074676,PRJNA463344,SRS3664238,DFQ37,ZygoLCG
Mucor maequisporus var. kaki,NRRL 3295,CWSBB,SAMN11533436,PRJNA537980,SRS5069311,FB408,ZygoLCG
Mucor miehei,NRRL 5283,GAUTX,SAMN11510254,PRJNA536242,SRS5128303,FBX95,ZygoLCG
Mucor miehei,NRRL 5902,GAUUN,SAMN11493333,PRJNA535013,SRS5128321,FBN02,ZygoLCG
Mucor mousanensis,NRRL 3105,CHXYT,SAMN09062783,PRJNA455968,SRS3664119,DER79,ZygoLCG
Mucor mucedo Linnaeus Fresenius,NRRL A-13277,GAUXY,,,,,ZygoLCG
Mucor nidicola,NRRL 54520,CHXZA,SAMN09074665,PRJNA463324,SRS3664146,DFQ19,ZygoLCG
Mucor oblongisporus var. macrosporus,NRRL 1574,CHXYC,SAMN09074669,PRJNA463328,SRS3664063,DFQ23,ZygoLCG
Mucor oblongisporus var. macrosporus,NRRL 1589,GAWBO,SAMN11510185,PRJNA536142,SRS5122019,FBW95,ZygoLCG
Mucor odoratus,NRRL 3064,CHXYS,SAMN09062784,PRJNA455969,SRS3664067,DER80,ZygoLCG
Mucor pakistanicus,NRRL 6589,CUPZH,SAMN10872473,PRJNA519279,SRS4604669,EV166,ZygoLCG
Mucor petrinsularis var. echinosporus,NRRL 3141,CUPZN,SAMN10864751,PRJNA519273,SRS4604693,EV160,ZygoLCG
Mucor petrinsularis var. ovalisporus,NRRL 2536,CUPZO,SAMN10864723,PRJNA519270,SRS4604692,EV157,ZygoLCG
Mucor philippovi,NRRL 3036,CHXYP,SAMN09074677,PRJNA463345,SRS3664066,DFQ38,ZygoLCG
Mucor piriformis,NRRL 3637,GBNTZ,SAMN11510668,PRJNA536120,SRS5393868,FBW73,ZygoLCG
Mucor plasmaticus,NRRL 2708,GBNSS,SAMN11532713,PRJNA538884,SRS5393870,FB652,ZygoLCG
Mucor plumbeus,,GBNXC,SAMN11510191,PRJNA536175,SRS5128506,FBX28,ZygoLCG
Mucor plumbeus,NRRL 2353,GAUYW,SAMN11510191,PRJNA536175,SRS5128506,FBX28,ZygoLCG
Mucor pusillus Lindt,NRRL 3470,GAUSH,SAMN11510241,PRJNA536225,SRS5128180,FBX78,ZygoLCG
Mucor pusillus Lindt,NRRL A-16035,GAUYU,SAMN11493328,PRJNA535000,SRS5128508,FBM89,ZygoLCG
Mucor pusillus,NRRL 5893,GAUZT,SAMN11493330,PRJNA535005,SRS5119189,FBM94,ZygoLCG
Mucor pusillus,NRRL A-13674,GAUWY,SAMN11510175,PRJNA536144,SRS5128489,FBW97,ZygoLCG
Mucor pusillus,NRRL A-14037,GAWHW,SAMN11510186,PRJNA536145,SRS5128519,FBW98,ZygoLCG
Mucor racemosus Fresenius,NRRL 1504,GAWBZ,SAMN11510221,PRJNA536177,SRS5123036,FBX30,ZygoLCG
Mucor racemosus Fresenius,NRRL 1608,GAWBU,SAMN11510223,PRJNA536178,SRS5122934,FBX31,ZygoLCG
Mucor racemosus Fresenius,NRRL 1622,GAWHG,SAMN11510224,PRJNA536179,SRS5118075,FBX32,ZygoLCG
Mucor racemosus Fresenius,NRRL 1688,GAUZG,SAMN11510225,PRJNA536180,SRS5118745,FBX33,ZygoLCG
Mucor racemosus Fresenius,NRRL 1994,GAWHS,SAMN11510252,PRJNA536240,SRS5128513,FBX93,ZygoLCG
Mucor racemosus Fresenius,NRRL A-11534,GAUYT,,,,,ZygoLCG
Mucor racemosus Fresenius,NRRL A-19185,GAWAA,SAMN11510226,PRJNA536181,SRS5119264,FBX34,ZygoLCG
Mucor racemosus Fresenius,NRRL A-19189,GAWAO,SAMN11510227,PRJNA536182,SRS5119279,FBX35,ZygoLCG
Mucor racemosus,NRRL 1627,GAWCO,SAMN11510228,PRJNA536183,SRS5126128,FBX36,ZygoLCG
Mucor racemosus f. sphaerosporus,NRRL 3645,CHXYZ,SAMN09074678,PRJNA463346,SRS3664145,DFQ39,ZygoLCG
Mucor racemosus var. racemosus,NRRL 3641,GBNUH,SAMN11510669,PRJNA536121,SRS5393874,FBW74,ZygoLCG
Mucor ramannianus,NRRL 1839,GAWCN,SAMN11510176,PRJNA536146,SRS5124886,FBW99,ZygoLCG
Mucor ramannianus,NRRL A-21216,GAWAH,SAMN11510177,PRJNA536147,SRS5119278,FBX00,ZygoLCG
Mucor ramosissimus,NRRL 3042,CUPZP,SAMN10864756,PRJNA519286,SRS4604691,EV173,ZygoLCG
Mucor recurvus,NRRL 2358,CUPZS,SAMN10864752,PRJNA519274,SRS4604696,EV161,ZygoLCG
Mucor recurvus var. indicus,NRRL 3247,CUPZT,SAMN10864755,PRJNA519285,SRS4604694,EV172,ZygoLCG
Mucor rouxii Calmette Wehmer,NRRL 1894,GAWCA,,,,,ZygoLCG
Mucor saturninus,NRRL 2631,COZTZ,SAMN10362776,PRJNA500294,SRS4247322,EDC10,ZygoLCG
Mucor silvaticus,NRRL 1431,CHXYB,SAMN09074670,PRJNA463332,SRS3664061,DFQ25,ZygoLCG
Mucor sp.,NRRL A-14906,GAWAZ,SAMN11532703,PRJNA536184,SRS5119649,FBX37,ZygoLCG
Mucor sp.,NRRL A-17182,GAWAX,SAMN11533438,PRJNA536185,SRS5119591,FBX38,ZygoLCG
Mucor sp.,NRRL A-17797,GAWBC,SAMN11532704,PRJNA536186,SRS5121301,FBX39,ZygoLCG
Mucor sp.,NRRL A-18583,GAWBA,SAMN11532037,PRJNA536187,SRS5119659,FBX40,ZygoLCG
Mucor sp.,NRRL A-21230,GAWAW,SAMN11532223,PRJNA536188,SRS5119590,FBX41,ZygoLCG
Mucor sp.,NRRL A-21232,GAWCP,SAMN11532224,PRJNA536189,SRS5126129,FBX42,ZygoLCG
Mucor sp.,NRRL A-21236,GAWAU,SAMN11533293,PRJNA536190,SRS5119588,FBX43,ZygoLCG
Mucor sp.,NRRL A-25546,GAWBX,SAMN11533439,PRJNA536191,SRS5122935,FBX44,ZygoLCG
Mucor sp.,NRRL A-25547,GAUYO,SAMN11528546,PRJNA536192,SRS5128502,FBX45,ZygoLCG
Mucor sp.,NRRL A-25548,GAWAC,SAMN11532816,PRJNA536193,SRS5119267,FBX46,ZygoLCG
Mucor sp.,NRRL A-25783,GAWBG,SAMN11533440,PRJNA536194,SRS5121409,FBX47,ZygoLCG
Mucor sp.,NRRL A-25793,GAUXP,SAMN11532555,PRJNA536195,SRS5128442,FBX48,ZygoLCG
Mucor sp.,NRRL A-25970,GAWCT,SAMN11532817,PRJNA536196,SRS5126126,FBX49,ZygoLCG
Mucor sp.,NRRL A-26212,GAUZZ,SAMN11528549,PRJNA538868,SRS5119201,FB636,ZygoLCG
Mucor varians,NRRL 1760,CHXYG,SAMN09074668,PRJNA463327,SRS3664064,DFQ22,ZygoLCG
Mucor zychae var. zychae,NRRL 3243,CTHWG,SAMN10361576,PRJNA499690,SRS4289377,EC984,ZygoLCG
Mycocladus corymbifer,NRRL 1309,GAWCZ,SAMN11510245,PRJNA536231,SRS5126259,FBX84,ZygoLCG
Mycotypha microspora Fenner,NRRL 684,GAWCY,SAMN11510229,PRJNA536197,SRS5126289,FBX50,ZygoLCG
Mycotypha microspora Fenner,NRRL A-11005,GAWGB,SAMN11510230,PRJNA536198,SRS5126469,FBX51,ZygoLCG
Mycotypha microspora,IMI 282443,COZTX,SAMN10362883,PRJNA500296,SRS4247321,EDC12,ZygoLCG
Parasitella parasitica Bainier_Sydow,NRRL 1461,GAWGO,SAMN11510253,PRJNA536241,SRS5126669,FBX94,ZygoLCG
Parasitella simplex,NRRL 1460,GAWCX,SAMN11510178,PRJNA536148,SRS5126163,FBX01,ZygoLCG
Phycomyces blakesleeanus Burgeff,NRRL 1465,GAWGY,SAMN11510250,PRJNA536236,SRS5127903,FBX89,ZygoLCG
Phycomyces blakesleeanus Burgeff var. piloboloides,NRRL 2566,GAWAG,SAMN11533298,PRJNA538875,SRS5119266,FB643,ZygoLCG
Phycomyces theobromatus,NRRL 1467,CUPZU,SAMN10872461,PRJNA519262,SRS4604695,EV149,ZygoLCG
Pilaira anomala,RSA 1997_Plus,GBNWS,SAMN11493358,PRJNA535044,SRS5393877,FBN36,ZygoLCG
Pilaira anomala,RSA 1998-,GBNWT,SAMN11510666,PRJNA536118,SRS5393871,FBW71,ZygoLCG
Pilaira caucasica,CBS 523.68,CHXXW,SAMN09062786,PRJNA455972,SRS3664060,DER83,ZygoLCG
