ProjID,JGISample,JGIProjName,JGIBarcode,SubPhyla,Species,Strain,Notes
UFL_C202SC19040059,NBRC 105413,NC105413,NA,Kickxellomycotina,Coemansia asiatica NBRC 105413,NBRC 105413,
UFL_C202SC19040059,BCRC 34381,BCR34381,NA,Kickxellomycotina,Coemansia biformis BCRC 34381,BCRC 34381,
UFL_C202SC19040059,NBRC 32514,NRC32514,NA,Kickxellomycotina,Coemansia erecta NBRC 32514,NBRC 32514,
UFL_C202SC19040059,IMI 209127,MI209127,NA,Kickxellomycotina,Coemansia sp. IMI 209127,IMI 209127,
UFL_C202SC19040059,RSA 1086,RSA1086,NA,Kickxellomycotina,Coemansia sp. RSA 1086,RSA 1086,
UFL_C202SC19040059,RSA 1591,RSA1591,NA,Kickxellomycotina,Coemansia sp. RSA 1591,RSA 1591,
UFL_C202SC19040059,RSA 1752,RSA1752,NA,Kickxellomycotina,Coemansia sp. RSA 1752,RSA 1752,
UFL_C202SC19040059,RSA 1821,RSA1821,NA,Kickxellomycotina,Coemansia sp. RSA 1821,RSA 1821,
UFL_C202SC19040059,RSA 1824,RSA1824,NA,Kickxellomycotina,Coemansia sp. RSA 1824,RSA 1824,
UFL_C202SC19040059,RSA 1843,RSA1843,NA,Kickxellomycotina,Coemansia sp. RSA 1843,RSA 1843,
UFL_C202SC19040059,RSA 1938,RSA1938,NA,Kickxellomycotina,Coemansia sp. RSA 1938,RSA 1938,
UFL_C202SC19040059,RSA 2167,RSA2167,NA,Kickxellomycotina,Coemansia sp. RSA 2167,RSA 2167,
UFL_C202SC19040059,RSA 2399,RSA2399,NA,Kickxellomycotina,Coemansia sp. RSA 2399,RSA 2399,
UFL_C202SC19040059,RSA 2523,RSA2523,NA,Kickxellomycotina,Coemansia sp. RSA 2523,RSA 2523,
UFL_C202SC19040059,RSA 2598,RSA2598,NA,Kickxellomycotina,Coemansia sp. RSA 2598,RSA 2598,
UFL_C202SC19040059,RSA 2599,RSA2599,NA,Kickxellomycotina,Coemansia sp. RSA 2599,RSA 2599,
UFL_C202SC19040059,RSA 2675,RSA2675,NA,Kickxellomycotina,Coemansia sp. RSA 2675,RSA 2675,
UFL_C202SC19040059,RSA 2703,RSA2703,NA,Kickxellomycotina,Coemansia sp. RSA 2703,RSA 2703,
UFL_C202SC19040059,RSA 2708,RSA2708,NA,Kickxellomycotina,Coemansia sp. RSA 2708,RSA 2708,
UFL_C202SC19040059,RSA 2711,RSA2711,NA,Kickxellomycotina,Coemansia sp. RSA 2711,RSA 2711,
UFL_C202SC19040059,RSA 486,RSA486,NA,Kickxellomycotina,Coemansia sp. RSA 486,RSA 486,
UFL_C202SC19040059,RSA 638,RSA638,NA,Kickxellomycotina,Coemansia sp. RSA 638,RSA 638,
UFL_C202SC19040059,RSA 989,RSA989,NA,Kickxellomycotina,Coemansia sp. RSA 989,RSA 989,
UFL_C202SC19040059,RSA 990,RSA990,NA,Kickxellomycotina,Coemansia sp. RSA 990,RSA 990,
UFL_C202SC19040059,S17,S17,NA,Kickxellomycotina,Coemansia sp. S17,S17,
UFL_C202SC19040059,MVC-580,MVC_580,NA,Mucoromycotina,Densosporaceae sp. MVC-580,MVC-580,
UFL_C202SC19040059,Benny 63K,Benny63K,NA,Kickxellomycotina,Kickxella alabastrina Benny 63K,Benny 63K,
UFL_C202SC19040059,Benney D160-2,BeD160_2,NA,Kickxellomycotina,Coemansia sp. Benny D160-2,Benny D160-2,
